Revenue;SREV;INC;100;1;433.047;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Total Revenue;RTLR;INC;310;1;433.047;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Cost of Revenue, Total;SCOR;INC;360;1;72.028;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Gross Profit;SGRP;INC;370;1;361.019;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Selling/General/Admin. Expenses, Total;SSGA;INC;550;1;242.159;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Research & Development;ERAD;INC;560;1;30.43;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Depreciation/Amortization;SDPR;INC;600;1;9.805;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Total Operating Expense;ETOE;INC;830;1;354.422;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Operating Income;SOPI;INC;840;1;78.625;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Interest Inc.(Exp.),Net-Non-Op., Total;SNIN;INC;911;1;-0.911;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Other, Net;SONT;INC;1270;1;-1.067;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Net Income Before Taxes;EIBT;INC;1280;1;76.647;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Provision for Income Taxes;TTAX;INC;1290;1;10.24;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Net Income After Taxes;TIAT;INC;1300;1;66.407;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Net Income Before Extra. Items;NIBX;INC;1340;1;66.407;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Total Extraordinary Items;STXI;INC;1390;1;0.4;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Net Income;NINC;INC;1400;1;66.807;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
